data;
set begin := city1	city2	city3	city4	city5	city6	city7	city8	city9	city10	city11	city12	city13	city14	city15	city16	city17	city18	city19	city20	city21	city22	city23	city24	city25	city26	city27	city28	city29	city30	city31	city32	city33	city34	city35	city36	city37	city38	city39	city40	city41	city42	city43	city44	city45	city46	city47	city48	city49	city50	city51	city52	city53	city54	city55	city56	city57	city58	city59	city60	city61	city62	city63	city64	city65	city66	city67	city68	city69	city70	city71	city72	city73	city74	city75	city76	city77	city78	city79	city80	city81	city82	city83	city84	city85	city86	city87	city88	city89	city90	city91	city92	city93	city94	city95	city96	city97	city98	city99	city100	city101	city102	city103	city104	city105	city106	city107	city108	city109	city110	city111	city112	city113	city114	city115	city116	city117	city118	city119	city120	city121	city122	city123	city124	city125	city126	city127	city128	city129	city130	city131	city132	city133	city134	city135	city136	city137	city138	city139	city140	city141	city142	city143	city144	city145	city146	city147	city148	city149	city150;
set dest := dest1	dest2	dest3	dest4	dest5	dest6	dest7	dest8	dest9	dest10	dest11	dest12	dest13	dest14	dest15	dest16	dest17	dest18	dest19	dest20	dest21	dest22	dest23	dest24	dest25	dest26	dest27	dest28	dest29	dest30	dest31	dest32	dest33	dest34	dest35	dest36	dest37	dest38	dest39	dest40	dest41	dest42	dest43	dest44	dest45	dest46	dest47	dest48	dest49	dest50	dest51	dest52	dest53	dest54	dest55	dest56	dest57	dest58	dest59	dest60	dest61	dest62	dest63	dest64	dest65	dest66	dest67	dest68	dest69	dest70	dest71	dest72	dest73	dest74	dest75	dest76	dest77	dest78	dest79	dest80	dest81	dest82	dest83	dest84	dest85	dest86	dest87	dest88	dest89	dest90	dest91	dest92	dest93	dest94	dest95	dest96	dest97	dest98	dest99	dest100	dest101	dest102	dest103	dest104	dest105	dest106	dest107	dest108	dest109	dest110	dest111	dest112	dest113	dest114	dest115	dest116	dest117	dest118	dest119	dest120	dest121	dest122	dest123	dest124	dest125	dest126	dest127	dest128	dest129	dest130	dest131	dest132	dest133	dest134	dest135	dest136	dest137	dest138	dest139	dest140	dest141	dest142	dest143	dest144	dest145	dest146	dest147	dest148	dest149	dest150;

param alpha:= 0.9;

param p:=
city1	8103677
city2	3805387
city3	2934854
city4	2028533
city5	1522870
city6	1395817
city7	1260010
city8	1234150
city9	1188531
city10	960279
city11	921724
city12	804020
city13	799977
city14	761895
city15	714871
city16	681734
city17	665829
city18	663740
city19	605315
city20	597674
city21	585273
city22	583680
city23	583008
city24	578298
city25	577817
city26	559884
city27	555194
city28	542334
city29	517995
city30	514247
city31	513913
city32	488633
city33	480690
city34	475333
city35	455452
city36	448042
city37	440449
city38	437232
city39	435548
city40	419198
city41	418810
city42	411438
city43	399091
city44	394285
city45	392054
city46	379351
city47	375418
city48	353313
city49	348770
city50	348091
city51	345735
city52	337830
city53	335736
city54	332869
city55	315118
city56	314287
city57	296134
city58	294233
city59	290532
city60	288092
city61	285821
city62	278223
city63	264715
city64	262802
city65	260365
city66	257099
city67	254450
city68	251066
city69	245551
city70	244160
city71	241004
city72	234507
city73	231780
city74	231197
city75	230543
city76	229679
city77	228056
city78	224040
city79	222391
city80	218112
city81	214178
city82	210961
city83	209500
city84	208924
city85	208869
city86	207215
city87	204793
city88	203835
city89	203360
city90	201780
city91	201456
city92	201152
city93	200811
city94	200808
city95	200502
city96	199673
city97	198961
city98	198683
city99	198422
city100	195404
city101	195268
city102	194823
city103	194788
city104	194507
city105	193625
city106	192696
city107	192594
city108	192322
city109	190949
city110	189883
city111	188035
city112	187326
city113	186576
city114	186522
city115	185223
city116	183346
city117	180284
city118	178750
city119	178097
city120	176510
city121	175456
city122	175149
city123	170139
city124	169029
city125	167603
city126	166973
city127	165848
city128	162735
city129	159995
city130	159318
city131	157841
city132	156005
city133	155609
city134	155580
city135	154285
city136	153946
city137	153811
city138	152128
city139	152012
city140	151773
city141	151499
city142	151023
city143	150561
city144	149061
city145	148780
city146	147363
city147	147353
city148	147330
city149	147106
city150	146642;

param c:=
dest1	840000
dest2	760000
dest3	610000
dest4	420000
dest5	530000
dest6	260000
dest7	590000
dest8	460000
dest9	230000
dest10	400000
dest11	650000
dest12	290000
dest13	590000
dest14	530000
dest15	440000
dest16	290000
dest17	450000
dest18	410000
dest19	450000
dest20	450000
dest21	400000
dest22	470000
dest23	330000
dest24	290000
dest25	450000
dest26	310000
dest27	450000
dest28	430000
dest29	400000
dest30	390000
dest31	200000
dest32	340000
dest33	400000
dest34	430000
dest35	370000
dest36	270000
dest37	320000
dest38	260000
dest39	400000
dest40	210000
dest41	270000
dest42	380000
dest43	400000
dest44	380000
dest45	210000
dest46	240000
dest47	260000
dest48	210000
dest49	270000
dest50	220000
dest51	240000
dest52	210000
dest53	220000
dest54	330000
dest55	290000
dest56	180000
dest57	170000
dest58	210000
dest59	210000
dest60	180000
dest61	220000
dest62	180000
dest63	190000
dest64	200000
dest65	160000
dest66	240000
dest67	170000
dest68	140000
dest69	160000
dest70	210000
dest71	160000
dest72	220000
dest73	180000
dest74	190000
dest75	140000
dest76	120000
dest77	120000
dest78	200000
dest79	130000
dest80	130000
dest81	110000
dest82	170000
dest83	180000
dest84	120000
dest85	160000
dest86	140000
dest87	200000
dest88	160000
dest89	180000
dest90	130000
dest91	190000
dest92	170000
dest93	130000
dest94	120000
dest95	160000
dest96	190000
dest97	190000
dest98	180000
dest99	120000
dest100	190000
dest101	160000
dest102	100000
dest103	140000
dest104	190000
dest105	170000
dest106	130000
dest107	170000
dest108	180000
dest109	150000
dest110	180000
dest111	130000
dest112	140000
dest113	100000
dest114	130000
dest115	180000
dest116	170000
dest117	100000
dest118	100000
dest119	140000
dest120	90000
dest121	100000
dest122	130000
dest123	90000
dest124	170000
dest125	140000
dest126	160000
dest127	80000
dest128	120000
dest129	110000
dest130	120000
dest131	100000
dest132	80000
dest133	150000
dest134	130000
dest135	140000
dest136	90000
dest137	100000
dest138	130000
dest139	140000
dest140	130000
dest141	80000
dest142	90000
dest143	130000
dest144	80000
dest145	120000
dest146	110000
dest147	150000
dest148	120000
dest149	130000
dest150	110000;

param d:
	dest1	dest2	dest3	dest4	dest5	dest6	dest7	dest8	dest9	dest10	dest11	dest12	dest13	dest14	dest15	dest16	dest17	dest18	dest19	dest20	dest21	dest22	dest23	dest24	dest25	dest26	dest27	dest28	dest29	dest30	dest31	dest32	dest33	dest34	dest35	dest36	dest37	dest38	dest39	dest40	dest41	dest42	dest43	dest44	dest45	dest46	dest47	dest48	dest49	dest50	dest51	dest52	dest53	dest54	dest55	dest56	dest57	dest58	dest59	dest60	dest61	dest62	dest63	dest64	dest65	dest66	dest67	dest68	dest69	dest70	dest71	dest72	dest73	dest74	dest75	dest76	dest77	dest78	dest79	dest80	dest81	dest82	dest83	dest84	dest85	dest86	dest87	dest88	dest89	dest90	dest91	dest92	dest93	dest94	dest95	dest96	dest97	dest98	dest99	dest100	dest101	dest102	dest103	dest104	dest105	dest106	dest107	dest108	dest109	dest110	dest111	dest112	dest113	dest114	dest115	dest116	dest117	dest118	dest119	dest120	dest121	dest122	dest123	dest124	dest125	dest126	dest127	dest128	dest129	dest130	dest131	dest132	dest133	dest134	dest135	dest136	dest137	dest138	dest139	dest140	dest141	dest142	dest143	dest144	dest145	dest146	dest147	dest148	dest149	dest150:=
